"Carrier_Service_Combo","Service Code"
"PriorityNewZealandParcels - Same Day""  ""2:01",""
"PriorityNewZealandParcels - Overnight","2:02"
"PriorityNewZealandParcels - Off Peak""  ""2:03",""
"PriorityNewZealandParcels - Saturday/After Hrs","2:07"
"PriorityNewZealandParcels - Sunday/Public Hol.","2:08"
"PriorityNewZealandGlobal - Express Parcels","2:00"
"PriorityNewZealandReturns Priority","2A:02"
"PriorityNewZealandReturns Offpeak","2A:03"
"PriorityNewZealandGlobal - Express Envelope","1Z:00"
"PriorityNewZealandGlobal - Express Airfreight","3:00"
"PriorityNewZealandEconomy Pacific-Airport to Airport""  ""YA:00",""
"PriorityNewZealandEconomy Pacific-Door to Door","YC:00"
"PriorityNewZealandEconomy Pacific-Door to Airport","YB:00"
"PriorityNewZealandGlobal Mail","6:00"
"CourierDistribution","DIS"
"IPECRoad Express""  ""X",""
"IPECPriority""  ""H",""
"IPECTrans Tasman""  ""I",""
"IPECDirect","V"
"IPECLocal","L"
"IPECFashion","F"
"IPECAuswide 3kg Satchel","T"
"IPECAuswide 5kg Satchel","U"
"IPECSensitive","7"
"ContractLogisticsExpress Local","ELOC"
"ContractLogisticsGeneral Local","GLOC"
"ContractLogisticsExpress Linehaul","ELINE"
"ContractLogisticsGeneral Linehaul","GLINE"
"ContractLogisticsDelivery","DELV"
"ContractLogisticsDG Delivery""  ""DDELV",""
"ContractLogisticsRail","RAIL"
"EnergyMarineLogisticsGeneral""  ""G",""
"EnergyMarineLogisticsExpress""  ""E",""
"EnergyMarineLogisticsHotshot""  ""H",""
"EnergyMarineLogisticsCourier""  ""K",""
"EnergyMarineLogisticsOvernight","O"
"EnergyMarineLogisticsSame Day","T"
"EnergyMarineLogisticsDG Freight","D"
"EnergyMarineLogisticsDedicated","I"
"EnergyMarineLogisticsDG Courier","J"
"EnergyMarineLogisticsDG Overnight","N"
"EnergyMarineLogisticsDG Same Day""  ""U",""
"EnergyMarineLogisticsDG Express","X"
"EnergyMarineLogisticsDG Premium","Y"
"IntermodalSpecialisedGeneral""  ""G",""
"IntermodalSpecialisedExpress""  ""E",""
"IntermodalSpecialisedPremium""  ""M",""
"IntermodalSpecialisedFood Dry","F"
"IntermodalSpecialisedDangerous Goods""  ""D",""
"IntermodalSpecialisedFrozen","Z"
"IntermodalSpecialisedThird Party""  ""T",""
"IntermodalSpecialisedRefrigeration","R"
"IntermodalSpecialisedAir Freight""  ""A",""
"IntermodalSpecialisedDangerous Goods Express""  ""X",""
"IntermodalSpecialisedDG Refrigerated""  ""S",""
"IntermodalSpecialisedRail General","Q"
"IntermodalSpecialisedRail Dangerous Goods","V"
"IntermodalSpecialisedFCL""  ""J",""
"IntermodalSpecialisedDG FCL","Y"
"MiningServicesGeneral","G"
"MiningServicesExpress","E"
"MiningServicesDG Freight""  ""D",""
"MiningServicesRefrigeration","R"
"MiningServicesPremium","M"
"MiningServicesDG Premium","Y"
"TasmaniaGeneral","G"
"TasmaniaExpress","E"
"TasmaniaDG Freight","D"
"TasmaniaRefrigeration","R"
